No,Category,Pattern,Motion_Level,Description,Implementation_Hint,Best_For,Avoid_When,Complexity
39,Micro-Interaction,Directional Hover Button,4+,Hover fill entering from exact side mouse entered,Track mouse entry direction + clip-path animation,CTAs · Navigation · Card actions,Mobile (no hover) · Accessibility,Medium
40,Micro-Interaction,Ripple Click Effect,3+,Visual waves rippling from click coordinates,CSS radial-gradient expanding from pointer position,Buttons · Cards · List items,Already using Material Design,Low
41,Micro-Interaction,Animated SVG Line Drawing,4+,Vectors drawing their own contours in real-time,SVG stroke-dasharray + dashoffset animation,Icons · Illustrations · Loading states,Photo-heavy · Data displays,Medium
42,Micro-Interaction,Mesh Gradient Background,3+,Organic lava-lamp animated color blobs,CSS @keyframes on multiple radial-gradients + blur,Hero backgrounds · SaaS · AI products,Text-heavy · Print-style · Content,Low
43,Micro-Interaction,Lens Blur Depth,4+,Dynamic focus blurring background to highlight foreground,CSS backdrop-filter blur on z-layers,Modals · Focus modes · Spotlight UIs,Full-page blur (performance),Low
44,Bento,Intelligent List,5+,Vertical stack with infinite auto-sorting loop simulating AI prioritization,Framer Motion layoutId for smooth position swaps,AI dashboards · Task managers · SaaS,Static content · Simple sites,Medium
45,Bento,Command Input,5+,Search/AI bar with multi-step typewriter cycling complex prompts,JS interval for typewriter + blinking cursor + shimmer loading,AI products · SaaS search · Developer tools,Simple search · E-commerce,Medium
46,Bento,Live Status,4+,Scheduling interface with breathing status indicators and spring pop-up badges,CSS @keyframes pulse + Framer overshoot spring,Dashboards · Monitoring · Calendars,Static content · Blog posts,Medium
47,Bento,Wide Data Stream,3+,Horizontal infinite carousel of data cards/metrics,"Framer Motion x: ['0%' '-100%'] with seamless loop",Analytics · Metrics · Social proof,Small datasets · Simple pages,Medium
48,Bento,Contextual UI Focus Mode,5+,Document view with staggered text highlight and floating action toolbar,Framer staggerChildren + float-in toolbar animation,Document editors · AI assistants · Reading,E-commerce · Landing pages,Medium
